# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.224032298212883285e-01 -2.310890173912048340e+01 4.432648051263708311e+01
-7.000000000000000666e-02 8.324032298212884484e-01 -2.331094264984130859e+01 3.015766892188610271e+01
-5.999999999999999778e-02 8.424032298212883463e-01 -2.341057324409484863e+01 5.852275588159063346e+00
-5.000000000000000278e-02 8.524032298212883552e-01 -2.342684602737426758e+01 1.692343573744852503e-01
-4.000000000000000083e-02 8.624032298212882530e-01 -2.343399262428283691e+01 1.876129832311473900e+00
-2.999999999999999889e-02 8.724032298212883729e-01 -2.344699764251708984e+01 2.302655479000260907e+00
-2.000000000000000042e-02 8.824032298212882708e-01 -2.345831179618835449e+01 1.582358719197444863e+00
-1.000000000000000021e-02 8.924032298212883907e-01 -2.346453094482421875e+01 6.592463712802050235e-01
0.000000000000000000e+00 9.024032298212883996e-01 -2.346633005142211914e+01 1.098270526173091011e-02
1.000000000000000021e-02 9.124032298212884085e-01 -2.346522355079650879e+01 -4.247739778528170085e-01
2.000000000000000042e-02 9.224032298212884173e-01 -2.346204233169555664e+01 -7.775184334890521409e-01
2.999999999999999889e-02 9.324032298212884262e-01 -2.345708394050598145e+01 -1.103886602893501268e+00
4.000000000000000083e-02 9.424032298212884351e-01 -2.345047187805175781e+01 -1.411731049247244796e+00
5.000000000000000278e-02 9.524032298212884440e-01 -2.344232368469238281e+01 -1.696384716471383891e+00
5.999999999999999778e-02 9.624032298212883418e-01 -2.343277525901794434e+01 -1.954868033601286248e+00
7.000000000000000666e-02 9.724032298212883507e-01 -2.342196965217590332e+01 -2.187156948365170273e+00
8.000000000000000167e-02 9.824032298212883596e-01 -2.341004514694213867e+01 -2.394886000827677552e+00
