# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.265286752747880161e-01 -2.316963458061210090e+01 4.182857395612452223e+01
-7.000000000000000666e-02 8.365286752747880250e-01 -2.334481930732721366e+01 2.502883767876098275e+01
-5.999999999999999778e-02 8.465286752747879229e-01 -2.341542220115657713e+01 4.468779059219702532e+00
-5.000000000000000278e-02 8.565286752747879317e-01 -2.342498207092282669e+01 2.291951613275772237e-01
-4.000000000000000083e-02 8.665286752747878296e-01 -2.343344664573668013e+01 2.224150847584999813e+00
-2.999999999999999889e-02 8.765286752747879495e-01 -2.344719719886779075e+01 2.345526021493534063e+00
-2.000000000000000042e-02 8.865286752747879584e-01 -2.345806097984313965e+01 1.475464367929820053e+00
-1.000000000000000021e-02 8.965286752747879673e-01 -2.346369791030883789e+01 5.929742738805379165e-01
0.000000000000000000e+00 9.065286752747879762e-01 -2.346522903442382812e+01 -1.341164452652067116e-02
1.000000000000000021e-02 9.165286752747879850e-01 -2.346396970748901367e+01 -4.536991119962646701e-01
2.000000000000000042e-02 9.265286752747878829e-01 -2.346054911613464355e+01 -8.318934174905020518e-01
2.999999999999999889e-02 9.365286752747878918e-01 -2.345521545410156250e+01 -1.181269654964192561e+00
4.000000000000000083e-02 9.465286752747879007e-01 -2.344812846183776855e+01 -1.502761967516655695e+00
5.000000000000000278e-02 9.565286752747880206e-01 -2.343945240974426270e+01 -1.793152947553939391e+00
5.999999999999999778e-02 9.665286752747879184e-01 -2.342935943603515625e+01 -2.052048364470500097e+00
7.000000000000000666e-02 9.765286752747879273e-01 -2.341801643371582031e+01 -2.281218773432415414e+00
8.000000000000000167e-02 9.865286752747879362e-01 -2.340557765960693359e+01 -2.483413274993913067e+00
